,id,previousHomeWin,previousAwayWin,previousDraw,previousManagerHomeWin,previousManagerAwayWin,previousManagerDraw,homeAvgRating,homePosition,homePoint,homeForm,awayAvgRating,awayPosition,awayPoint,awayForm,homeExpectedGoal,awayExpectedGoal,homeExpectedAssist,awayExpectedAssist,homeBallPosession,homeShotOnTarget,awayShotOnTarget,homeShotOffTarget,awayShotOffTarget,homeBlockedShot,awayBlockedShot,homeCorner,awayCorner,homeOffside,awayOffside,homeYellowCard,awayYellowCard,homeRedCard,awayRedCard,homeFreekick,awayFreekick,homeThrowIn,awayThrowIn,homeGoalkick,awayGoalkick,homeBigChance,awayBigChance,homeBigChanceMissed,awayBigChanceMissed,homeHitWoodwork,awayHitWoodwork,homeCounterAttack,awayCounterAttack,homeCounterAttackShot,awayCounterAttackShot,homeCounterAttackGoal,awayCounterAttackGoal,homeShotInsideBox,awayShotInsideBox,homeGoalSave,awayGoalSave,homePass,awayPass,homeAccuratePass,awayAccuratePass,homeLongPass,awayLongPass,homeAccurateLongPass,awayAccurateLongPass,homeCross,awayCross,homeAccurateCross,awayAccurateCross,homeDribble,awwayDribble,homeSuccessfulDribble,awaySuccessfulDribble,homePossesionLost,awayPossesionLost,homeDuelWon,awayDuelWon,homeAerialWon,awayAerialWon,homeTackle,awayTackle,homeInterception,awayInterception,homeClearance,awayClearance,homeTeamId,awayTeamId,homeScorePeriod1,homeScoreCurrent,awayScorePeriod1,awayScoreCurrent
872,10385547,14,2,1,2,1,1,6.81,16,2.0,0.6666666666666666,6.7,15,3.0,1.0,1.9,0.24,0.0,0.0,69.0,7.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,10.0,7.0,2.0,7.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,2.0,2.0,393.0,174.0,337.0,128.0,33.0,32.0,19.0,11.0,9.0,3.0,6.0,1.0,14.0,2.0,8.0,0.0,75.0,68.0,25.0,20.0,8.0,7.0,6.0,11.0,5.0,7.0,2.0,7.0,44,60,5,9,0,0
888,10385556,2,3,2,2,1,2,6.87,9,4.0,1.3333333333333333,6.78,17,1.0,0.3333333333333333,0.94,0.68,0.0,0.0,50.0,2.0,5.0,4.0,0.0,3.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,13.0,9.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,5.0,4.0,2.0,230.0,244.0,186.0,205.0,26.0,40.0,9.0,17.0,10.0,6.0,3.0,1.0,7.0,9.0,2.0,4.0,69.0,66.0,27.0,24.0,12.0,5.0,11.0,12.0,5.0,4.0,7.0,9.0,50,48,0,1,1,1
904,10385552,10,4,6,0,0,0,6.9,12,4.0,1.3333333333333333,6.65,19,1.0,0.3333333333333333,0.55,0.56,0.0,0.0,63.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,0.0,2.0,2.0,1.0,0.0,5.0,4.0,13.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,327.0,195.0,287.0,159.0,30.0,18.0,21.0,9.0,10.0,7.0,2.0,0.0,11.0,7.0,4.0,1.0,72.0,67.0,31.0,21.0,9.0,6.0,14.0,10.0,1.0,5.0,5.0,10.0,38,31,0,2,0,1
920,10385742,12,2,6,2,0,1,7.06,3,9.0,3.0,6.84,11,5.0,1.6666666666666667,0.87,0.31,0.0,0.0,74.0,1.0,0.0,3.0,3.0,4.0,1.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,8.0,10.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,333.0,117.0,291.0,69.0,28.0,25.0,21.0,6.0,8.0,2.0,4.0,2.0,11.0,7.0,5.0,3.0,74.0,64.0,22.0,30.0,5.0,7.0,7.0,16.0,4.0,7.0,0.0,10.0,42,43,0,2,0,1
936,10385557,11,3,6,1,0,1,7.04,5,7.0,2.333333333333333,6.91,3,7.0,2.333333333333333,0.9,0.07,0.0,0.0,46.0,2.0,0.0,4.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,11.0,5.0,15.0,9.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,174.0,210.0,123.0,155.0,35.0,29.0,18.0,9.0,8.0,4.0,3.0,0.0,9.0,5.0,4.0,4.0,86.0,74.0,32.0,29.0,11.0,5.0,6.0,15.0,4.0,9.0,2.0,8.0,30,34,0,1,0,0
952,10385554,14,3,3,2,1,1,7.19,2,7.0,2.333333333333333,6.78,10,4.0,1.3333333333333333,0.55,0.12,0.0,0.0,75.0,0.0,2.0,5.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,9.0,6.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,377.0,125.0,334.0,83.0,19.0,40.0,16.0,12.0,15.0,3.0,6.0,1.0,8.0,6.0,5.0,2.0,65.0,61.0,29.0,19.0,11.0,4.0,9.0,5.0,3.0,2.0,2.0,14.0,17,7,0,4,2,2
968,10385568,4,6,10,0,1,1,6.88,18,1.0,0.3333333333333333,7.11,10,5.0,1.6666666666666667,0.52,0.85,0.0,0.0,35.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,5.0,8.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,1.0,126.0,232.0,92.0,195.0,28.0,25.0,14.0,13.0,9.0,17.0,4.0,5.0,4.0,10.0,2.0,4.0,57.0,66.0,23.0,22.0,6.0,7.0,9.0,8.0,3.0,4.0,12.0,4.0,3,39,1,1,0,1
1049,10385551,6,5,1,1,2,0,6.85,12,4.0,1.3333333333333333,7.01,4,7.0,2.333333333333333,0.42,0.33,0.0,0.0,58.0,1.0,1.0,4.0,3.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,12.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,335.0,241.0,281.0,190.0,34.0,26.0,14.0,10.0,13.0,4.0,2.0,2.0,6.0,5.0,2.0,2.0,80.0,72.0,22.0,17.0,7.0,9.0,10.0,5.0,6.0,11.0,4.0,16.0,14,33,0,0,1,2
1065,10385588,0,1,5,0,0,4,6.66,12,4.0,1.0,6.88,10,5.0,1.25,0.68,0.39,0.0,0.0,53.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,11.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,256.0,217.0,218.0,175.0,34.0,34.0,22.0,18.0,5.0,12.0,2.0,1.0,8.0,11.0,4.0,3.0,61.0,83.0,28.0,20.0,6.0,4.0,15.0,8.0,4.0,6.0,18.0,1.0,7,50,0,1,0,1
1081,10385758,6,6,8,0,0,1,6.87,5,7.0,1.75,6.84,18,2.0,0.5,0.06,0.36,0.0,0.0,70.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,19.0,13.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,346.0,152.0,293.0,104.0,23.0,30.0,12.0,9.0,13.0,0.0,1.0,0.0,12.0,6.0,6.0,2.0,90.0,72.0,28.0,26.0,12.0,5.0,5.0,15.0,5.0,8.0,5.0,11.0,34,48,0,1,1,1
1097,10385559,6,5,4,2,1,1,6.83,11,5.0,1.25,6.99,4,10.0,2.5,0.12,0.16,0.0,0.0,45.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,10.0,12.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,220.0,271.0,172.0,225.0,20.0,33.0,9.0,16.0,4.0,6.0,1.0,1.0,10.0,7.0,7.0,3.0,76.0,74.0,26.0,22.0,6.0,3.0,9.0,11.0,4.0,6.0,5.0,4.0,43,30,0,2,0,1
1113,10385585,4,11,5,2,6,1,6.84,13,4.0,1.0,6.89,6,7.0,1.75,0.5,0.67,0.0,0.0,36.0,4.0,3.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,14.0,16.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,149.0,277.0,95.0,226.0,29.0,22.0,8.0,13.0,6.0,5.0,0.0,2.0,9.0,9.0,5.0,3.0,78.0,77.0,28.0,27.0,11.0,9.0,11.0,7.0,11.0,11.0,8.0,11.0,45,38,2,2,1,1
1129,10385574,15,4,1,2,0,0,7.08,1,12.0,3.0,6.83,16,3.0,0.75,1.89,0.2,0.0,0.0,66.0,7.0,1.0,3.0,1.0,5.0,0.0,7.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,12.0,6.0,1.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,5.0,304.0,163.0,269.0,124.0,26.0,28.0,19.0,9.0,15.0,3.0,2.0,0.0,12.0,4.0,7.0,2.0,69.0,58.0,28.0,19.0,8.0,3.0,6.0,12.0,3.0,4.0,4.0,18.0,42,40,1,2,0,1
1145,10385759,3,4,2,0,0,1,6.5,18,3.0,0.75,6.89,19,2.0,0.5,0.12,0.44,0.0,0.0,39.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,11.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,197.0,296.0,149.0,257.0,27.0,36.0,10.0,25.0,2.0,9.0,0.0,2.0,9.0,5.0,4.0,1.0,75.0,66.0,28.0,25.0,6.0,7.0,11.0,12.0,4.0,5.0,9.0,5.0,60,3,0,0,0,0
1161,10385582,13,2,5,13,1,1,6.99,12,5.0,1.25,7.06,10,6.0,1.5,0.5,0.66,0.0,0.0,73.0,0.0,2.0,2.0,2.0,3.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,12.0,6.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,328.0,128.0,283.0,88.0,40.0,25.0,18.0,10.0,19.0,4.0,2.0,0.0,12.0,3.0,4.0,2.0,82.0,51.0,9.0,29.0,2.0,11.0,1.0,12.0,2.0,6.0,2.0,22.0,44,39,0,2,1,1
1177,10385590,2,3,3,3,0,1,7.18,2,10.0,2.5,6.85,14,4.0,1.0,2.0,0.24,0.0,0.0,77.0,4.0,0.0,4.0,1.0,1.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,6.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,400.0,117.0,364.0,80.0,29.0,27.0,20.0,7.0,14.0,4.0,3.0,2.0,9.0,4.0,4.0,3.0,63.0,46.0,22.0,21.0,12.0,6.0,3.0,8.0,2.0,7.0,3.0,15.0,17,14,3,6,0,0
1193,10385564,8,9,3,1,5,2,6.72,17,3.0,0.75,7.03,3,10.0,2.5,0.36,0.29,0.0,0.0,39.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,10.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0,205.0,336.0,183.0,309.0,18.0,24.0,12.0,16.0,13.0,5.0,1.0,1.0,4.0,5.0,0.0,4.0,47.0,43.0,12.0,12.0,5.0,3.0,3.0,4.0,4.0,2.0,9.0,9.0,37,33,0,1,1,1
1209,10385573,4,11,5,0,2,0,6.69,20,1.0,0.25,6.81,12,6.0,1.5,0.04,1.23,0.0,0.0,49.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0,5.0,9.0,12.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,287.0,304.0,229.0,245.0,27.0,36.0,11.0,17.0,8.0,6.0,0.0,1.0,4.0,5.0,2.0,3.0,79.0,86.0,30.0,24.0,11.0,8.0,11.0,8.0,8.0,6.0,10.0,7.0,31,35,0,0,1,1
1225,10385599,1,11,8,1,5,1,6.84,17,3.0,0.6,6.99,6,8.0,1.6,0.86,0.45,0.0,0.0,36.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,7.0,12.0,18.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,149.0,271.0,114.0,228.0,25.0,30.0,10.0,18.0,7.0,14.0,1.0,4.0,3.0,3.0,1.0,2.0,57.0,70.0,19.0,19.0,6.0,4.0,7.0,6.0,2.0,6.0,17.0,6.0,48,44,0,0,0,0
1241,10385569,2,15,3,0,2,1,6.81,19,3.0,0.6,7.22,3,13.0,2.6,0.18,0.43,0.0,0.0,30.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,11.0,12.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,155.0,380.0,110.0,334.0,34.0,31.0,14.0,20.0,5.0,7.0,0.0,0.0,2.0,2.0,0.0,1.0,61.0,66.0,17.0,17.0,6.0,10.0,8.0,5.0,4.0,4.0,5.0,5.0,40,17,0,1,0,1
1257,10385600,3,5,3,0,1,1,6.7,16,4.0,0.8,6.58,17,4.0,0.8,1.22,0.08,0.0,0.0,52.0,2.0,0.0,1.0,0.0,4.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,7.0,13.0,14.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,210.0,204.0,173.0,166.0,33.0,18.0,19.0,6.0,13.0,9.0,4.0,1.0,7.0,5.0,6.0,2.0,58.0,59.0,20.0,16.0,4.0,3.0,5.0,4.0,5.0,2.0,7.0,11.0,14,60,2,2,0,3
1273,10385577,6,4,8,1,1,1,6.86,11,6.0,1.2,6.87,7,8.0,1.6,1.1,0.38,0.0,0.0,33.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,10.0,17.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,124.0,255.0,90.0,215.0,21.0,25.0,10.0,11.0,6.0,11.0,1.0,1.0,13.0,13.0,9.0,6.0,68.0,77.0,36.0,31.0,9.0,7.0,12.0,15.0,4.0,1.0,12.0,9.0,50,34,2,5,1,2
1289,10385757,9,7,4,3,1,0,6.91,10,7.0,1.4,6.77,15,4.0,0.8,0.21,0.03,0.0,0.0,70.0,0.0,0.0,1.0,1.0,3.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,8.0,12.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,347.0,149.0,312.0,121.0,17.0,26.0,6.0,13.0,15.0,5.0,1.0,0.0,9.0,4.0,6.0,2.0,62.0,50.0,25.0,20.0,5.0,8.0,9.0,7.0,2.0,8.0,4.0,14.0,38,37,0,2,0,1
1305,10385744,15,3,2,4,0,0,7.0,3,11.0,2.2,6.84,8,8.0,1.6,0.8,0.15,0.0,0.0,57.0,3.0,0.0,4.0,3.0,3.0,0.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,7.0,10.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,294.0,221.0,265.0,184.0,18.0,22.0,9.0,11.0,14.0,10.0,4.0,2.0,11.0,5.0,4.0,2.0,58.0,59.0,22.0,26.0,9.0,7.0,8.0,10.0,3.0,4.0,6.0,13.0,33,43,1,2,0,1
1321,10385576,5,10,5,3,5,1,6.91,4,10.0,2.0,6.73,20,1.0,0.2,0.98,1.36,0.0,0.0,51.0,2.0,3.0,5.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,9.0,10.0,2.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,3.0,1.0,1.0,235.0,233.0,202.0,194.0,28.0,27.0,19.0,10.0,13.0,3.0,5.0,0.0,7.0,4.0,3.0,2.0,56.0,59.0,24.0,16.0,8.0,5.0,9.0,7.0,7.0,7.0,2.0,12.0,30,31,2,5,2,2
1402,10385608,9,4,7,2,0,2,7.01,12,6.0,1.2,6.71,13,5.0,1.0,1.62,0.37,0.0,0.0,50.0,5.0,4.0,3.0,1.0,6.0,2.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,3.0,10.0,2.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,3.0,4.0,4.0,174.0,193.0,134.0,145.0,27.0,31.0,12.0,9.0,19.0,4.0,8.0,1.0,5.0,12.0,2.0,5.0,75.0,72.0,28.0,29.0,9.0,7.0,11.0,11.0,9.0,7.0,4.0,16.0,39,7,0,0,0,0
1418,10385595,10,4,2,3,0,0,6.93,18,3.0,0.6,6.83,9,7.0,1.4,0.64,0.62,0.0,0.0,56.0,2.0,0.0,2.0,4.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,5.0,8.0,7.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,234.0,176.0,192.0,127.0,26.0,25.0,14.0,9.0,11.0,13.0,1.0,4.0,12.0,7.0,5.0,3.0,71.0,70.0,27.0,25.0,6.0,6.0,9.0,11.0,9.0,7.0,9.0,11.0,3,45,1,1,0,0
1434,10385750,7,8,5,1,2,0,6.83,8,9.0,1.8,7.05,1,15.0,3.0,0.55,0.4,0.0,0.0,46.0,3.0,1.0,2.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,10.0,8.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,2.0,182.0,203.0,149.0,165.0,26.0,26.0,11.0,13.0,3.0,9.0,1.0,3.0,10.0,9.0,3.0,5.0,53.0,61.0,19.0,21.0,4.0,1.0,7.0,10.0,2.0,3.0,10.0,4.0,35,42,1,3,0,1
1450,10385627,5,9,1,1,4,0,6.69,19,4.0,0.8,6.83,10,8.0,1.4,0.72,0.27,0.0,0.0,30.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,6.0,6.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,148.0,358.0,112.0,316.0,26.0,26.0,11.0,11.0,7.0,13.0,2.0,3.0,2.0,6.0,0.0,3.0,62.0,66.0,16.0,25.0,8.0,7.0,4.0,9.0,3.0,3.0,17.0,3.0,14,43,1,2,0,3
1466,10385639,5,14,1,0,3,0,6.94,15,6.0,1.2,7.18,2,14.0,2.2,0.32,0.6,0.0,0.0,40.0,1.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,3.0,8.0,8.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,199.0,311.0,167.0,276.0,24.0,19.0,12.0,12.0,4.0,5.0,0.0,3.0,11.0,7.0,7.0,4.0,55.0,52.0,23.0,21.0,4.0,6.0,7.0,8.0,4.0,6.0,5.0,2.0,3,17,0,0,2,3
1482,10385745,7,9,4,2,0,0,6.78,17,4.0,0.8,6.83,12,7.0,1.4,0.83,0.16,0.0,0.0,57.0,3.0,0.0,1.0,1.0,4.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,15.0,10.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,204.0,159.0,150.0,111.0,30.0,28.0,14.0,9.0,15.0,9.0,3.0,0.0,8.0,16.0,4.0,7.0,87.0,83.0,37.0,32.0,14.0,11.0,15.0,9.0,0.0,7.0,12.0,22.0,40,45,1,1,0,0
1498,10385624,5,3,4,1,0,3,7.02,11,7.0,0.8,6.61,14,7.0,0.8,0.46,0.14,0.0,0.0,67.0,4.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,7.0,10.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,283.0,137.0,237.0,97.0,21.0,23.0,9.0,7.0,11.0,4.0,1.0,0.0,5.0,13.0,2.0,5.0,77.0,68.0,29.0,34.0,7.0,10.0,13.0,12.0,1.0,6.0,5.0,15.0,39,60,0,1,0,1
1514,10385635,1,5,1,1,4,1,6.86,9,9.0,1.6,6.98,3,15.0,2.4,0.09,0.74,0.0,0.0,36.0,1.0,3.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,14.0,9.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,172.0,308.0,118.0,258.0,39.0,26.0,19.0,9.0,8.0,4.0,4.0,1.0,3.0,2.0,2.0,1.0,74.0,70.0,23.0,14.0,13.0,7.0,6.0,3.0,7.0,5.0,7.0,9.0,50,42,0,0,2,3
1530,10385623,9,8,3,2,3,0,6.89,17,4.0,0.8,6.74,18,4.0,0.8,0.13,0.16,0.0,0.0,55.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,14.0,13.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,224.0,182.0,183.0,144.0,26.0,26.0,13.0,12.0,14.0,14.0,3.0,2.0,13.0,4.0,6.0,0.0,77.0,71.0,30.0,17.0,5.0,4.0,13.0,10.0,6.0,9.0,12.0,12.0,48,37,0,1,0,0
1611,10385641,11,6,3,3,1,0,7.01,3,14.0,2.2,6.68,20,1.0,0.0,0.7,1.45,0.0,0.0,41.0,3.0,4.0,1.0,5.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,10.0,3.0,5.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,1.0,222.0,335.0,184.0,289.0,30.0,26.0,19.0,20.0,12.0,7.0,4.0,2.0,8.0,7.0,3.0,4.0,67.0,62.0,18.0,23.0,5.0,7.0,6.0,10.0,7.0,4.0,3.0,5.0,33,31,2,6,2,2
1627,10385648,7,7,6,2,1,0,6.99,1,18.0,2.4,7.05,3,17.0,2.6,0.66,1.44,0.0,0.0,59.0,4.0,3.0,4.0,1.0,1.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,8.0,7.0,6.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,2.0,3.0,260.0,181.0,229.0,144.0,14.0,35.0,7.0,15.0,14.0,7.0,5.0,2.0,11.0,5.0,7.0,2.0,59.0,52.0,23.0,22.0,4.0,3.0,7.0,9.0,2.0,1.0,8.0,15.0,42,33,1,3,1,1
1643,10385748,5,8,6,0,1,1,6.65,12,8.0,1.0,6.83,9,9.0,1.0,0.14,0.4,0.0,0.0,44.0,0.0,4.0,1.0,4.0,1.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,4.0,11.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,209.0,273.0,168.0,232.0,24.0,28.0,8.0,18.0,9.0,10.0,1.0,3.0,5.0,4.0,3.0,1.0,62.0,62.0,23.0,19.0,8.0,7.0,8.0,9.0,3.0,2.0,12.0,9.0,60,50,0,0,0,0
1659,10385629,4,16,0,0,2,2,6.8,16,6.0,1.2,6.89,7,10.0,1.4,0.31,0.83,0.0,0.0,28.0,2.0,1.0,3.0,5.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,8.0,13.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,127.0,348.0,93.0,312.0,15.0,30.0,3.0,22.0,4.0,3.0,1.0,3.0,8.0,7.0,3.0,3.0,54.0,49.0,20.0,19.0,4.0,5.0,8.0,6.0,3.0,4.0,4.0,7.0,7,38,1,1,1,2
1675,10385657,9,8,3,2,3,2,6.8,14,7.0,1.2,6.93,13,7.0,1.4,0.51,0.54,0.0,0.0,46.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,15.0,12.0,4.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,203.0,231.0,161.0,189.0,22.0,36.0,6.0,25.0,7.0,16.0,2.0,4.0,6.0,6.0,3.0,4.0,67.0,85.0,22.0,27.0,5.0,6.0,13.0,11.0,2.0,4.0,16.0,3.0,45,48,0,1,0,2
