,id,previousHomeWin,previousAwayWin,previousDraw,previousManagerHomeWin,previousManagerAwayWin,previousManagerDraw,homeAvgRating,homePosition,homePoint,homeForm,awayAvgRating,awayPosition,awayPoint,awayForm,homeExpectedGoal,awayExpectedGoal,homeExpectedAssist,awayExpectedAssist,homeBallPosession,homeShotOnTarget,awayShotOnTarget,homeShotOffTarget,awayShotOffTarget,homeBlockedShot,awayBlockedShot,homeCorner,awayCorner,homeOffside,awayOffside,homeYellowCard,awayYellowCard,homeRedCard,awayRedCard,homeFreekick,awayFreekick,homeThrowIn,awayThrowIn,homeGoalkick,awayGoalkick,homeBigChance,awayBigChance,homeBigChanceMissed,awayBigChanceMissed,homeHitWoodwork,awayHitWoodwork,homeCounterAttack,awayCounterAttack,homeCounterAttackShot,awayCounterAttackShot,homeCounterAttackGoal,awayCounterAttackGoal,homeShotInsideBox,awayShotInsideBox,homeGoalSave,awayGoalSave,homePass,awayPass,homeAccuratePass,awayAccuratePass,homeLongPass,awayLongPass,homeAccurateLongPass,awayAccurateLongPass,homeCross,awayCross,homeAccurateCross,awayAccurateCross,homeDribble,awwayDribble,homeSuccessfulDribble,awaySuccessfulDribble,homePossesionLost,awayPossesionLost,homeDuelWon,awayDuelWon,homeAerialWon,awayAerialWon,homeTackle,awayTackle,homeInterception,awayInterception,homeClearance,awayClearance,homeTeamId,awayTeamId,homeScorePeriod1,homeScoreCurrent,awayScorePeriod1,awayScoreCurrent
260,10385503,8,7,5,1,0,0,6.7,16,0.0,0.0,6.8,15,0.0,0.0,0.37,0.34,0.0,0.0,62.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,10.0,11.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,312.0,190.0,265.0,141.0,23.0,31.0,8.0,13.0,7.0,5.0,2.0,3.0,10.0,10.0,4.0,3.0,69.0,74.0,23.0,23.0,6.0,6.0,9.0,10.0,9.0,7.0,8.0,5.0,40,48,1,2,0,1
276,10385500,13,4,3,6,1,1,7.15,4,3.0,3.0,6.93,12,1.0,1.0,1.73,0.11,0.0,0.0,55.0,3.0,1.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,7.0,9.0,6.0,0.0,7.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,2.0,260.0,214.0,219.0,172.0,18.0,30.0,9.0,9.0,8.0,3.0,3.0,0.0,9.0,2.0,6.0,1.0,61.0,56.0,24.0,24.0,10.0,9.0,3.0,7.0,4.0,4.0,5.0,8.0,42,31,2,4,0,2
292,10385530,14,0,0,5,0,0,7.24,2,3.0,3.0,7.14,5,3.0,3.0,1.37,0.1,0.0,0.0,67.0,5.0,1.0,3.0,0.0,4.0,1.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,6.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,1.0,2.0,358.0,173.0,333.0,135.0,18.0,29.0,10.0,15.0,14.0,5.0,8.0,2.0,8.0,4.0,4.0,3.0,44.0,49.0,15.0,16.0,6.0,4.0,2.0,6.0,4.0,2.0,4.0,8.0,17,60,3,4,0,0
308,10385510,1,4,1,1,2,0,6.74,11,1.0,1.0,6.76,16,0.0,0.0,1.32,0.4,0.0,0.0,33.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,4.0,6.0,10.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,132.0,280.0,80.0,234.0,27.0,19.0,7.0,10.0,8.0,9.0,2.0,1.0,4.0,2.0,2.0,2.0,71.0,67.0,13.0,17.0,2.0,4.0,2.0,7.0,5.0,7.0,6.0,9.0,50,35,4,4,0,0
324,10385527,10,4,6,0,0,1,6.99,15,0.0,0.0,6.93,11,1.0,1.0,0.35,0.17,0.0,0.0,60.0,1.0,0.0,4.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,13.0,12.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,271.0,176.0,226.0,133.0,30.0,23.0,16.0,10.0,12.0,12.0,1.0,3.0,8.0,4.0,2.0,1.0,76.0,70.0,18.0,21.0,6.0,6.0,6.0,10.0,3.0,4.0,7.0,15.0,3,43,0,0,0,0
340,10385743,7,5,6,1,3,1,7.08,6,3.0,3.0,7.41,3,3.0,3.0,0.43,0.15,0.0,0.0,48.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,5.0,8.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,177.0,195.0,123.0,148.0,28.0,30.0,12.0,11.0,8.0,4.0,0.0,1.0,3.0,18.0,1.0,10.0,78.0,78.0,26.0,28.0,9.0,6.0,14.0,7.0,6.0,11.0,8.0,9.0,30,39,0,0,0,0
356,10385737,8,8,4,0,0,2,6.54,20,0.0,0.0,6.78,7,3.0,3.0,0.34,0.47,0.0,0.0,38.0,0.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,4.0,11.0,14.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,160.0,269.0,111.0,203.0,29.0,31.0,12.0,11.0,8.0,3.0,3.0,1.0,8.0,6.0,4.0,4.0,82.0,89.0,25.0,34.0,7.0,11.0,8.0,15.0,8.0,4.0,7.0,8.0,45,34,0,2,0,2
372,10385528,3,10,4,1,2,0,6.61,18,0.0,0.0,6.49,19,0.0,0.0,1.13,0.42,0.0,0.0,51.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,7.0,5.0,9.0,11.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,182.0,175.0,131.0,133.0,27.0,24.0,7.0,8.0,10.0,9.0,3.0,2.0,7.0,6.0,5.0,3.0,74.0,73.0,31.0,27.0,10.0,12.0,9.0,7.0,2.0,5.0,13.0,9.0,14,37,1,1,0,0
453,10385525,12,5,3,3,0,1,7.11,8,3.0,3.0,7.15,7,3.0,3.0,0.41,0.23,0.0,0.0,67.0,2.0,1.0,3.0,0.0,3.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,8.0,11.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,361.0,178.0,318.0,142.0,27.0,14.0,20.0,6.0,12.0,2.0,1.0,0.0,10.0,11.0,5.0,5.0,73.0,62.0,31.0,20.0,6.0,2.0,14.0,10.0,3.0,7.0,1.0,16.0,38,33,1,2,0,2
469,10385740,15,3,2,2,0,2,6.74,13,1.0,1.0,6.54,18,0.0,0.0,1.47,0.48,0.0,0.0,75.0,3.0,3.0,6.0,1.0,8.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,12.0,9.0,1.0,8.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,12.0,2.0,2.0,3.0,398.0,130.0,343.0,81.0,42.0,33.0,28.0,10.0,15.0,3.0,5.0,0.0,14.0,10.0,7.0,8.0,88.0,72.0,22.0,32.0,5.0,8.0,8.0,13.0,5.0,12.0,3.0,24.0,44,7,0,1,1,1
