id,homeAvgRating,homePosition,homePoint,homeForm,awayAvgRating,awayPosition,awayPoint,awayForm
10385569,6.81,19,3,0.6,7.22,3,13,2.6
10385600,6.70,16,4,0.8,6.58,17,4,0.8
10385577,6.86,11,6,1.2,6.87,7,8,1.6
10385757,6.91,10,7,1.4,6.77,15,4,0.8
10385744,7.00,3,11,2.2,6.84,8,8,1.6
10385576,6.91,4,10,2.0,6.73,20,1,0.2
10385608,7.01,12,6,1.2,6.71,13,5,1.0
10385595,6.93,18,3,0.6,6.83,9,7,1.4
10385750,6.83,8,9,1.8,7.05,1,15,3.0
10385576,6.91,4,10,2.0,6.73,20,1,0.2
10385609,6.83,10,8,1.4,6.89,6,10,1.4
10385746,6.68,20,1,0.0,6.78,17,4,0.8
10385591,6.61,13,7,0.8,6.94,4,13,2.0
10385747,6.83,12,7,1.4,6.86,8,9,1.6
10385598,6.98,1,15,2.4,6.89,16,4,0.8
10385609,6.83,10,8,1.4,6.89,6,10,1.4
10385605,7.00,7,9,1.6,6.94,14,6,1.2
10385618,6.74,18,4,0.8,7.02,11,7,0.8
10385603,7.18,2,14,2.2,7.01,3,14,2.2
10385746,6.68,20,1,0.0,6.78,17,4,0.8
10385591,6.61,13,7,0.8,6.94,4,13,2.0
10385747,6.83,12,7,1.4,6.86,8,9,1.6
10385598,6.98,1,15,2.4,6.89,16,4,0.8
10385605,7.00,7,9,1.6,6.94,14,6,1.2
10385611,6.80,15,6,1.2,6.85,5,12,2.4
10385618,6.74,18,4,0.8,7.02,11,7,0.8
10385603,7.18,2,14,2.2,7.01,3,14,2.2
10385598,6.98,1,15,2.4,6.89,16,4,0.8
10385614,6.79,9,8,1.0,6.69,19,4,0.8
10385611,6.80,15,6,1.2,6.85,5,12,2.4
10385618,6.74,18,4,0.8,7.02,11,7,0.8
10385614,6.79,9,8,1.0,6.69,19,4,0.8
10385627,6.69,19,4,0.8,6.83,10,8,1.4
10385639,6.94,15,6,1.2,7.18,2,14,2.2
10385745,6.78,17,4,0.8,6.83,12,7,1.4
10385624,7.02,11,7,0.8,6.61,14,7,0.8
10385635,6.86,9,9,1.6,6.98,3,15,2.4
10385626,,0,,,,0,,
10385623,6.89,17,4,0.8,6.74,18,4,0.8
10385627,6.69,19,4,0.8,6.83,10,8,1.4
10385639,6.94,15,6,1.2,7.18,2,14,2.2
10385615,,0,,,,0,,
10385745,6.78,17,4,0.8,6.83,12,7,1.4
10385641,7.01,3,14,2.2,6.68,20,1,0.0
10385624,7.02,11,7,0.8,6.61,14,7,0.8
10385635,6.86,9,9,1.6,6.98,3,15,2.4
10385626,,0,,,,0,,
10385623,6.89,17,4,0.8,6.74,18,4,0.8
10385634,,0,,,,0,,
10385615,,0,,,,0,,
10385641,7.01,3,14,2.2,6.68,20,1,0.0
10385623,6.89,17,4,0.8,6.74,18,4,0.8
10385634,,0,,,,0,,
10385615,,0,,,,0,,
10385648,6.99,1,18,2.4,7.05,3,17,2.6
10385648,6.99,1,18,2.4,7.05,3,17,2.6
10385748,6.65,12,8,1.0,6.83,9,9,1.0
10385629,6.80,16,6,1.2,6.89,7,10,1.4
10385657,6.80,14,7,1.2,6.93,13,7,1.4
10385749,6.85,6,11,1.8,7.00,10,8,0.8
10385659,7.00,8,9,1.6,6.94,4,13,2.0
10385656,7.18,2,17,2.2,6.85,6,12,2.4
10385661,6.75,18,4,0.8,6.87,17,6,1.0
10385642,6.79,13,8,1.0,6.80,14,7,0.8
10385748,6.65,12,8,1.0,6.83,9,9,1.0
10385629,6.80,16,6,1.2,6.89,7,10,1.4
10385657,6.80,14,7,1.2,6.93,13,7,1.4
10385749,6.85,6,11,1.8,7.00,10,8,0.8
10385659,7.00,8,9,1.6,6.94,4,13,2.0
10385656,7.18,2,17,2.2,6.85,6,12,2.4
10385661,6.75,18,4,0.8,6.87,17,6,1.0
10385642,6.79,13,8,1.0,6.80,14,7,0.8
10385631,6.65,20,1,0.0,6.68,19,4,0.2
10385656,7.18,2,17,2.2,6.85,6,12,2.4
10385631,6.65,20,1,0.0,6.68,19,4,0.2
10385649,6.69,13,9,1.2,6.72,19,4,0.6
10385689,7.02,7,11,1.2,6.85,10,10,1.2
10385760,6.89,5,13,1.8,6.85,18,6,1.0
10385687,6.80,15,7,1.4,6.77,9,11,1.2
10385686,6.78,17,6,1.0,6.77,13,9,1.0
10385695,7.19,2,20,2.6,6.80,16,7,0.6
10385653,6.94,6,14,2.0,6.97,3,17,2.0
10385649,6.69,13,9,1.2,6.72,19,4,0.6
10385689,7.02,7,11,1.2,6.85,10,10,1.2
10385760,6.89,5,13,1.8,6.85,18,6,1.0
10385762,6.95,11,10,1.8,6.78,7,12,2.4
10385687,6.80,15,7,1.4,6.77,9,11,1.2
10385686,6.78,17,6,1.0,6.77,13,9,1.0
10385644,7.00,2,21,2.4,6.95,10,10,1.6
10385695,7.19,2,20,2.6,6.80,16,7,0.6
10385653,6.94,6,14,2.0,6.97,3,17,2.0
10385761,6.66,20,4,0.0,6.83,16,8,1.0
10385762,6.95,11,10,1.8,6.78,7,12,2.4
10385687,6.80,15,7,1.4,6.77,9,11,1.2
10385686,6.78,17,6,1.0,6.77,13,9,1.0
10385644,7.00,2,21,2.4,6.95,10,10,1.6
10385761,6.66,20,4,0.0,6.83,16,8,1.0
10385682,6.79,11,10,1.0,6.94,7,14,1.4
10385704,6.73,20,4,0.6,6.80,15,9,1.0
10385700,6.76,15,9,0.4,7.00,1,24,2.4
10385680,6.83,16,9,1.2,6.94,4,16,2.4
10385696,6.74,10,11,1.2,6.70,9,12,1.8
10385682,6.79,11,10,1.0,6.94,7,14,1.4
10385753,6.97,3,20,2.0,6.91,12,10,1.6
10385704,6.73,20,4,0.6,6.80,15,9,1.0
10385693,6.80,5,15,2.4,7.02,6,14,1.6
10385705,6.80,18,6,0.8,6.67,20,5,0.2
10385692,6.75,18,7,0.6,6.82,13,10,1.4
10385700,6.76,15,9,0.4,7.00,1,24,2.4
10385680,6.83,16,9,1.2,6.94,4,16,2.4
10385696,6.74,10,11,1.2,6.70,9,12,1.8
10385753,6.97,3,20,2.0,6.91,12,10,1.6
10385752,6.90,12,10,1.6,7.21,2,23,2.6
10385693,6.80,5,15,2.4,7.02,6,14,1.6
10385705,6.80,18,6,0.8,6.67,20,5,0.2
10385692,6.75,18,7,0.6,6.82,13,10,1.4
10385700,6.76,15,9,0.4,7.00,1,24,2.4
10385680,6.83,16,9,1.2,6.94,4,16,2.4
10385752,6.90,12,10,1.6,7.21,2,23,2.6
10385693,6.80,5,15,2.4,7.02,6,14,1.6
10385692,6.75,18,7,0.6,6.82,13,10,1.4
10385713,6.93,7,14,0.8,6.67,20,5,0.2
10385707,6.81,13,10,1.2,6.81,17,9,1.2
10385755,6.71,11,13,1.8,6.76,18,8,0.2
10385718,6.82,9,13,1.4,6.94,4,19,2.4
10385713,6.93,7,14,0.8,6.67,20,5,0.2
10385707,6.81,13,10,1.2,6.81,17,9,1.2
10385715,7.00,6,15,1.8,6.88,14,10,1.4
10385729,6.91,8,13,1.6,6.85,13,11,1.4
10385725,6.83,5,16,2.0,6.98,3,23,2.4
10385755,6.71,11,13,1.8,6.76,18,8,0.2
10385718,6.82,9,13,1.4,6.94,4,19,2.4
10385715,7.00,6,15,1.8,6.88,14,10,1.4
10385708,6.76,12,12,0.8,6.82,17,9,1.2
10385706,6.76,20,5,0.8,6.76,16,9,0.4
10385729,6.91,8,13,1.6,6.85,13,11,1.4
10385725,6.83,5,16,2.0,6.98,3,23,2.4
10385708,6.76,12,12,0.8,6.82,17,9,1.2
10385706,6.76,20,5,0.8,6.76,16,9,0.4
10385728,6.69,20,6,0.4,6.93,7,16,1.6
10385732,6.80,17,9,1.0,6.83,10,14,1.0
10385730,7.19,2,23,2.0,6.94,8,15,1.0
10385751,6.95,4,20,2.6,6.88,5,19,2.0
10385721,6.86,15,10,1.2,6.83,11,13,1.6
10385754,6.75,16,9,0.2,6.80,9,15,1.4
10385361,6.80,18,9,0.6,6.77,20,8,1.4
10385728,6.69,20,6,0.4,6.93,7,16,1.6
10385368,6.78,15,11,0.8,6.99,1,27,2.4
10385732,6.80,17,9,1.0,6.83,10,14,1.0
10385730,7.19,2,23,2.0,6.94,8,15,1.0
10385751,6.95,4,20,2.6,6.88,5,19,2.0
10385721,6.86,15,10,1.2,6.83,11,13,1.6
10385754,6.75,16,9,0.2,6.80,9,15,1.4
10385361,6.80,18,9,0.6,6.77,20,8,1.4
10385365,6.97,3,23,1.8,6.99,6,18,2.2
10385368,6.78,15,11,0.8,6.99,1,27,2.4
10385359,6.85,17,11,1.4,6.72,13,13,1.2
10385732,6.80,17,9,1.0,6.83,10,14,1.0
10385754,6.75,16,9,0.2,6.80,9,15,1.4
10385361,6.80,18,9,0.6,6.77,20,8,1.4
10385365,6.97,3,23,1.8,6.99,6,18,2.2
10385368,6.78,15,11,0.8,6.99,1,27,2.4
10385359,6.85,17,11,1.4,6.72,13,13,1.2
10385380,6.81,17,11,2.0,7.16,2,26,2.4
10385362,6.99,4,21,2.6,6.83,15,12,1.0
10385366,6.71,14,13,1.0,6.95,3,23,1.2
10385367,6.81,11,14,1.0,6.78,19,9,0.6
10385363,6.90,9,15,0.4,6.93,5,21,2.2
