id,previousHomeWin,previousAwayWin,previousDraw,previousManagerHomeWin,previousManagerAwayWin,previousManagerDraw
10385695,14,3,3,9,1,2
10385653,3,10,1,0,4,1
10385649,5,4,5,1,0,0
10385689,6,1,1,4,0,1
10385760,12,4,4,0,0,0
10385762,2,11,7,1,3,1
10385687,13,3,4,3,1,0
10385686,5,9,4,4,5,2
10385644,4,11,5,4,5,2
10385695,14,3,3,9,1,2
10385653,3,10,1,0,4,1
10385761,3,7,8,0,0,1
10385762,2,11,7,1,3,1
10385687,13,3,4,3,1,0
10385686,5,9,4,4,5,2
10385644,4,11,5,4,5,2
10385761,3,7,8,0,0,1
10385682,6,9,4,1,1,1
10385704,7,8,5,1,0,2
10385700,3,14,3,0,2,0
10385680,5,14,1,2,1,0
10385696,1,4,3,1,1,1
10385682,6,9,4,1,1,1
10385753,10,2,8,2,0,0
10385704,7,8,5,1,0,2
10385693,11,5,4,1,3,1
10385705,8,5,3,0,0,0
10385692,6,10,4,2,2,3
10385700,3,14,3,0,2,0
10385680,5,14,1,2,1,0
10385696,1,4,3,1,1,1
10385753,10,2,8,2,0,0
10385752,8,7,5,12,11,6
10385693,11,5,4,1,3,1
10385705,8,5,3,0,0,0
10385692,6,10,4,2,2,3
10385700,3,14,3,0,2,0
10385680,5,14,1,2,1,0
10385752,8,7,5,12,11,6
10385693,11,5,4,1,3,1
10385692,6,10,4,2,2,3
10385713,6,4,5,1,1,1
10385707,9,7,2,0,0,0
10385755,4,10,4,0,1,0
10385718,3,4,2,0,5,1
10385713,6,4,5,1,1,1
10385707,9,7,2,0,0,0
10385715,7,11,2,3,1,2
10385729,13,4,3,10,1,1
10385725,12,6,2,1,0,0
10385755,4,10,4,0,1,0
10385718,3,4,2,0,5,1
10385715,7,11,2,3,1,2
10385708,9,8,3,1,0,0
10385706,9,5,6,2,0,0
10385729,13,4,3,10,1,1
10385725,12,6,2,1,0,0
10385708,9,8,3,1,0,0
10385706,9,5,6,2,0,0
10385728,2,7,3,1,3,0
10385732,1,4,6,1,0,0
10385730,12,2,1,2,0,1
10385751,5,8,7,1,0,1
10385721,9,3,8,2,1,0
10385754,7,8,5,0,1,0
10385361,5,7,4,0,0,0
10385728,2,7,3,1,3,0
10385368,6,8,6,2,3,2
10385732,1,4,6,1,0,0
10385730,12,2,1,2,0,1
10385751,5,8,7,1,0,1
10385721,9,3,8,2,1,0
10385754,7,8,5,0,1,0
10385361,5,7,4,0,0,0
10385365,11,7,2,5,2,0
10385368,6,8,6,2,3,2
10385359,5,5,4,2,0,0
10385732,1,4,6,1,0,0
10385754,7,8,5,0,1,0
10385361,5,7,4,0,0,0
10385365,11,7,2,5,2,0
10385368,6,8,6,2,3,2
10385359,5,5,4,2,0,0
10385380,5,14,1,2,7,2
10385362,8,4,8,1,0,0
10385366,2,9,2,0,1,0
10385367,4,7,3,0,0,0
10385363,2,9,5,1,0,0
10385378,6,11,3,0,0,1
10385380,5,14,1,2,7,2
10385373,12,4,4,2,1,0
10385377,8,9,3,2,0,1
10385364,9,4,2,2,2,0
10385362,8,4,8,1,0,0
10385366,2,9,2,0,1,0
10385367,4,7,3,0,0,0
10385363,2,9,5,1,0,0
10385378,6,11,3,0,0,1
10385373,12,4,4,2,1,0
10385377,8,9,3,2,0,1
10385360,12,5,3,2,1,0
10385364,9,4,2,2,2,0
10385360,12,5,3,2,1,0
10385376,5,10,5,2,3,1
10385384,4,2,0,1,0,0
10385388,4,9,4,1,5,4
10385374,3,8,8,0,0,0
10385390,7,8,5,2,2,3
10385385,17,0,3,12,0,0
10385376,5,10,5,2,3,1
10385379,3,13,4,1,2,0
10385384,4,2,0,1,0,0
10385388,4,9,4,1,5,4
10385374,3,8,8,0,0,0
10385390,7,8,5,2,2,3
10385385,17,0,3,12,0,0
10385375,2,12,6,1,2,4
10385371,5,10,5,1,3,1
10385372,7,6,7,1,1,1
10385376,5,10,5,2,3,1
10385379,3,13,4,1,2,0
10385375,2,12,6,1,2,4
10385371,5,10,5,1,3,1
10385372,7,6,7,1,1,1
10385383,2,2,0,2,2,0
10385393,3,13,3,0,0,0
10385386,6,7,2,2,1,0
10385383,2,2,0,2,2,0
10385387,10,8,2,1,0,0
10385381,5,12,3,3,1,1
10385382,10,3,5,1,0,0
10385400,12,4,4,1,0,0
10385395,6,9,5,6,4,3
10385393,3,13,3,0,0,0
10385389,1,8,5,0,3,0
10385386,6,7,2,2,1,0
10385383,2,2,0,2,2,0
10385399,2,15,3,0,4,0
10385387,10,8,2,1,0,0
10385381,5,12,3,3,1,1
10385382,10,3,5,1,0,0
10385400,12,4,4,1,0,0
10385395,6,9,5,6,4,3
10385389,1,8,5,0,3,0
10385399,2,15,3,0,4,0
10385397,1,2,3,0,1,2
10385396,13,3,4,5,1,2
10385397,1,2,3,0,1,2
10385391,6,7,6,1,2,1
10385394,4,4,5,0,1,0
10385398,5,13,2,1,7,2
10385406,11,7,2,6,5,0
10385404,7,5,8,0,1,0
10385396,13,3,4,5,1,2
10385392,10,4,2,1,0,0
10385397,1,2,3,0,1,2
10385391,6,7,6,1,2,1
10385394,4,4,5,0,1,0
10385398,5,13,2,1,7,2
10385401,10,1,2,5,0,0
10385406,11,7,2,6,5,0
10385404,7,5,8,0,1,0
10385392,10,4,2,1,0,0
10385403,6,8,5,0,3,0
10385401,10,1,2,5,0,0
10385403,6,8,5,0,3,0
10385402,3,5,0,1,5,0
10385405,14,5,1,6,2,0
10385408,4,12,4,0,2,0
10385409,6,6,3,2,1,0
10385410,4,6,4,0,1,0
10385402,3,5,0,1,5,0
10385418,13,2,5,4,1,1
10385405,14,5,1,6,2,0
10385408,4,12,4,0,2,0
10385413,10,4,6,0,0,1
10385407,6,7,7,2,0,1
10385409,6,6,3,2,1,0
10385414,14,5,1,0,1,0
10385410,4,6,4,0,1,0
10385412,3,7,4,0,0,1
10385418,13,2,5,4,1,1
10385408,4,12,4,0,2,0
10385413,10,4,6,0,0,1
10385407,6,7,7,2,0,1
10385414,14,5,1,0,1,0
10385428,1,3,1,1,3,1
10385412,3,7,4,0,0,1
